dt,state,confirmed
2020-03-24,AL,242
2020-03-24,AK,42
2020-03-24,AZ,326
2020-03-24,AR,230
2020-03-24,CA,2511
2020-03-24,CO,921
2020-03-24,CT,618
2020-03-24,DE,104
2020-03-24,D.C.,183
2020-03-24,FL,1373
2020-03-24,GA,1119
2020-03-24,HI,70
2020-03-24,ID,71
2020-03-24,IL,1535
2020-03-24,IN,365
2020-03-24,IA,124
2020-03-24,KS,98
2020-03-24,KY,163
2020-03-24,LA,1388
2020-03-24,ME,118
2020-03-24,MD,349
2020-03-24,MA,1159
2020-03-24,MI,1791
2020-03-24,MN,287
2020-03-24,MS,377
2020-03-24,MO,255
2020-03-24,MT,48
2020-03-24,NE,53
2020-03-24,NV,278
2020-03-24,NH,108
2020-03-24,NJ,3675
2020-03-24,NM,100
2020-03-24,NY,26358
2020-03-24,NC,504
2020-03-24,ND,37
2020-03-24,OH,564
2020-03-24,OK,106
2020-03-24,OR,209
2020-03-24,PA,851
2020-03-24,RI,124
2020-03-24,SC,342
2020-03-24,SD,30
2020-03-24,TN,667
2020-03-24,TX,715
2020-03-24,UT,298
2020-03-24,VT,95
2020-03-24,VA,391
2020-03-24,WA,2469
2020-03-24,WV,39
2020-03-24,WI,457
2020-03-24,WY,30
