dt,state,confirmed
2020-01-22,AK,0
2020-01-22,AL,0
2020-01-22,AR,0
2020-01-22,AZ,0
2020-01-22,CA,0
2020-01-22,CO,0
2020-01-22,CT,0
2020-01-22,D.C.,0
2020-01-22,DE,0
2020-01-22,FL,0
2020-01-22,GA,0
2020-01-22,HI,0
2020-01-22,IA,0
2020-01-22,ID,0
2020-01-22,IL,0
2020-01-22,IN,0
2020-01-22,KS,0
2020-01-22,KY,0
2020-01-22,LA,0
2020-01-22,MA,0
2020-01-22,MD,0
2020-01-22,ME,0
2020-01-22,MI,0
2020-01-22,MN,0
2020-01-22,MO,0
2020-01-22,MS,0
2020-01-22,MT,0
2020-01-22,NC,0
2020-01-22,ND,0
2020-01-22,NE,0
2020-01-22,NH,0
2020-01-22,NJ,0
2020-01-22,NM,0
2020-01-22,NV,0
2020-01-22,NY,0
2020-01-22,OH,0
2020-01-22,OK,0
2020-01-22,OR,0
2020-01-22,PA,0
2020-01-22,RI,0
2020-01-22,SC,0
2020-01-22,SD,0
2020-01-22,TN,0
2020-01-22,TX,0
2020-01-22,UT,0
2020-01-22,VA,0
2020-01-22,VT,0
2020-01-22,WA,1
2020-01-22,WI,0
2020-01-22,WV,0
2020-01-22,WY,0
2020-01-23,AK,0
2020-01-23,AL,0
2020-01-23,AR,0
2020-01-23,AZ,0
2020-01-23,CA,0
2020-01-23,CO,0
2020-01-23,CT,0
2020-01-23,D.C.,0
2020-01-23,DE,0
2020-01-23,FL,0
2020-01-23,GA,0
2020-01-23,HI,0
2020-01-23,IA,0
2020-01-23,ID,0
2020-01-23,IL,0
2020-01-23,IN,0
2020-01-23,KS,0
2020-01-23,KY,0
2020-01-23,LA,0
2020-01-23,MA,0
2020-01-23,MD,0
2020-01-23,ME,0
2020-01-23,MI,0
2020-01-23,MN,0
2020-01-23,MO,0
2020-01-23,MS,0
2020-01-23,MT,0
2020-01-23,NC,0
2020-01-23,ND,0
2020-01-23,NE,0
2020-01-23,NH,0
2020-01-23,NJ,0
2020-01-23,NM,0
2020-01-23,NV,0
2020-01-23,NY,0
2020-01-23,OH,0
2020-01-23,OK,0
2020-01-23,OR,0
2020-01-23,PA,0
2020-01-23,RI,0
2020-01-23,SC,0
2020-01-23,SD,0
2020-01-23,TN,0
2020-01-23,TX,0
2020-01-23,UT,0
2020-01-23,VA,0
2020-01-23,VT,0
2020-01-23,WA,1
2020-01-23,WI,0
2020-01-23,WV,0
2020-01-23,WY,0
2020-01-24,AK,0
2020-01-24,AL,0
2020-01-24,AR,0
2020-01-24,AZ,0
2020-01-24,CA,0
2020-01-24,CO,0
2020-01-24,CT,0
2020-01-24,D.C.,0
2020-01-24,DE,0
2020-01-24,FL,0
2020-01-24,GA,0
2020-01-24,HI,0
2020-01-24,IA,0
2020-01-24,ID,0
2020-01-24,IL,1
2020-01-24,IN,0
2020-01-24,KS,0
2020-01-24,KY,0
2020-01-24,LA,0
2020-01-24,MA,0
2020-01-24,MD,0
2020-01-24,ME,0
2020-01-24,MI,0
2020-01-24,MN,0
2020-01-24,MO,0
2020-01-24,MS,0
2020-01-24,MT,0
2020-01-24,NC,0
2020-01-24,ND,0
2020-01-24,NE,0
2020-01-24,NH,0
2020-01-24,NJ,0
2020-01-24,NM,0
2020-01-24,NV,0
